StandardizedEPA,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
FacilityID,sppd_facility_identifier,sppd_facility_identifier,sppd_facility_identifier,sppd_facility_identifier,sppd_facility_identifier,sppd_facility_identifier,sppd_facility_identifier,sppd_facility_identifier,sppd_facility_identifier,sppd_facility_identifier
FacilityName,facility_name,facility_name,facility_name,facility_name,facility_name,facility_name,facility_name,facility_name,facility_name,facility_name
CompanyName,,,,,,,,,,
Address,location_address,location_address,location_address,location_address,location_address,location_address,location_address,location_address,location_address,location_address
City,city,city,city,city,city,city,city,city,city,city
State,state_abbr,state_abbr,state_abbr,state_abbr,state_abbr,state_abbr,state_abbr,state_abbr,state_abbr,state_abbr
Zip,zipcode,zipcode,zipcode,zipcode,zipcode,zipcode,zipcode,zipcode,zipcode,zipcode
Latitude,y_coordinate,y_coordinate,y_coordinate,y_coordinate,y_coordinate,y_coordinate,y_coordinate,y_coordinate,y_coordinate,y_coordinate
Longitude,x_coordinate,x_coordinate,x_coordinate,x_coordinate,x_coordinate,x_coordinate,x_coordinate,x_coordinate,x_coordinate,x_coordinate
NAICS,naics_primary,naics_primary,naics_primary,naics_primary,naics_primary,naics_primary,naics_primary,naics_primary,naics_primary,naics_primary
County,county_name,county_name,county_name,county_name,county_name,county_name,county_name,county_name,county_name,county_name
FlowName,pollutant_description,pollutant_description,pollutant_description,pollutant_description,pollutant_description,pollutant_description,pollutant_description,pollutant_description,pollutant_description,pollutant_description
FlowID,pollutant_code,pollutant_code,pollutant_code,pollutant_code,pollutant_code,pollutant_code,pollutant_code,pollutant_code,pollutant_code,pollutant_code
FlowAmount,actual_emissions_tpy,actual_emissions_tpy,actual_emissions_tpy,actual_emissions_tpy,actual_emissions_tpy,actual_emissions_tpy,actual_emissions_tpy,actual_emissions_tpy,actual_emissions_tpy,actual_emissions_tpy
UOM,,,,,,,,,,
ReliabilityScore,emission_calc_method_code,emission_calc_method_code,emission_calc_method_code,emission_calc_method_code,emission_calc_method_code,emission_calc_method_code,emission_calc_method_code,emission_calc_method_code,emission_calc_method_code,emission_calc_method_code
Process,scc,scc,scc,scc,scc,scc,scc,scc,scc,scc
UnitID,emission_unit_id,emission_unit_id,emission_unit_id,emission_unit_id,emission_unit_id,emission_unit_id,emission_unit_id,emission_unit_id,emission_unit_id,emission_unit_id
UnitType,unit_type_code,unit_type_code,unit_type_code,unit_type_code,unit_type_code,unit_type_code,,unit_type_code,unit_type_code,
StackHeight,stack_height (ft),stack_height (ft),stack_height (ft),stack_height (ft),stack_height (ft),stack_height (ft),stack_height_ft,stack_height (ft),stack_height (ft),stack_height_ft
